"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.3","3.2","3.5"
"mean","indep","Intrinsic",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"3.5","3.2","3.9"
"mean","indep","Intrinsic",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"3.3","3.0","3.6"
"mean","indep","Intrinsic",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"3.3","2.9","3.7"
"mean","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.0","2.8","3.1"
"mean","indep","Realized",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"3.1","2.9","3.4"
"mean","indep","Realized",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"2.9","2.7","3.1"
"mean","indep","Realized",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"3.1","2.7","3.4"
"mean","mech","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.5","3.3","3.7"
"mean","mech","Intrinsic",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"3.8","3.4","4.2"
"mean","mech","Intrinsic",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"3.5","3.3","3.8"
"mean","mech","Intrinsic",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"3.5","3.1","3.9"
"mean","mech","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"3.0","2.8","3.1"
"mean","mech","Realized",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"3.1","2.9","3.4"
"mean","mech","Realized",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"2.9","2.7","3.2"
"mean","mech","Realized",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"3.1","2.8","3.4"
"sd","indep","Intrinsic",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.5","1.3","1.7"
"sd","indep","Intrinsic",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"1.5","1.1","2.0"
"sd","indep","Intrinsic",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"1.6","1.3","2.0"
"sd","indep","Intrinsic",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"1.2","0.6","1.9"
"sd","indep","Realized",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.3","1.2","1.5"
"sd","indep","Realized",21,"cov","BA1",FALSE,"1p","All",2.6,1,0.35,"1.3","1.0","1.6"
"sd","indep","Realized",22,"cov","BA4",FALSE,"1p","All",2.6,1,0.35,"1.4","1.2","1.6"
"sd","indep","Realized",23,"cov","XBB",FALSE,"1p","All",2.6,1,0.35,"1.0","0.5","1.5"
