"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.41","0.21","0.83"
"alpha",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"0.36","0.24","0.59"
"alpha",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"0.50","0.22","1.21"
"presymp",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.31","0.24","0.38"
"presymp",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"0.30","0.25","0.36"
"presymp",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"0.32","0.25","0.40"
"p_E",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.24","0.03","0.55"
"p_E",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"0.19","0.03","0.42"
"p_E",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"0.33","0.06","0.65"
"period_E",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.64","0.08","1.42"
"period_E",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"0.49","0.07","1.09"
"period_E",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"0.86","0.15","1.69"
"period_P",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.96","1.18","2.52"
"period_P",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"2.11","1.51","2.53"
"period_P",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"1.74","0.91","2.45"
"mu_inv",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.68","1.44","1.94"
"mu_inv",39,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.1,"1.69","1.47","1.95"
"mu_inv",40,"cov","All Omicron",FALSE,"1p","All",2.6,1,1.27,"1.65","1.42","1.92"
